border,date,measure,value,average
US-Mexico Border,12/01/2003 12:00:00 AM,Personal Vehicles,7896957,7694561
US-Mexico Border,12/01/2003 12:00:00 AM,Pedestrians,4596477,4726170
US-Canada Border,12/01/2003 12:00:00 AM,Personal Vehicle Passengers,4523405,5028142
US-Canada Border,12/01/2003 12:00:00 AM,Personal Vehicles,2193652,2388168
US-Canada Border,12/01/2003 12:00:00 AM,Trucks,500516,491858
US-Canada Border,12/01/2003 12:00:00 AM,Truck Containers Full,420806,396456
US-Mexico Border,12/01/2003 12:00:00 AM,Trucks,338505,329426
US-Mexico Border,12/01/2003 12:00:00 AM,Bus Passengers,308910,320130
US-Canada Border,12/01/2003 12:00:00 AM,Bus Passengers,236257,245175
US-Mexico Border,12/01/2003 12:00:00 AM,Truck Containers Full,207978,180840
US-Mexico Border,12/01/2003 12:00:00 AM,Truck Containers Empty,138143,146137
US-Canada Border,12/01/2003 12:00:00 AM,Rail Containers Full,117567,103899
US-Canada Border,12/01/2003 12:00:00 AM,Truck Containers Empty,73240,69020
US-Canada Border,12/01/2003 12:00:00 AM,Rail Containers Empty,38320,32890
US-Canada Border,12/01/2003 12:00:00 AM,Pedestrians,35722,42685
US-Mexico Border,12/01/2003 12:00:00 AM,Rail Containers Empty,32888,28351
US-Mexico Border,12/01/2003 12:00:00 AM,Buses,25282,25928
US-Mexico Border,12/01/2003 12:00:00 AM,Rail Containers Full,17982,18785
US-Canada Border,12/01/2003 12:00:00 AM,Train Passengers,14959,15659
US-Canada Border,12/01/2003 12:00:00 AM,Buses,10418,9854
US-Canada Border,12/01/2003 12:00:00 AM,Trains,2882,2428
US-Mexico Border,12/01/2003 12:00:00 AM,Train Passengers,1059,1064
US-Mexico Border,12/01/2003 12:00:00 AM,Trains,652,582
US-Mexico Border,12/01/2002 12:00:00 AM,Personal Vehicle Passengers,17916036,18788628
US-Mexico Border,12/01/2002 12:00:00 AM,Personal Vehicles,7939876,7449246
US-Mexico Border,12/01/2002 12:00:00 AM,Pedestrians,4923075,4529264
US-Canada Border,12/01/2002 12:00:00 AM,Personal Vehicle Passengers,4873112,5183173
US-Canada Border,12/01/2002 12:00:00 AM,Personal Vehicles,2412388,2363947
US-Canada Border,12/01/2002 12:00:00 AM,Trucks,512209,471508
US-Canada Border,12/01/2002 12:00:00 AM,Truck Containers Full,425003,367908
US-Mexico Border,12/01/2002 12:00:00 AM,Bus Passengers,358127,282132
US-Mexico Border,12/01/2002 12:00:00 AM,Trucks,329204,329648
US-Canada Border,12/01/2002 12:00:00 AM,Bus Passengers,255742,234608
US-Mexico Border,12/01/2002 12:00:00 AM,Truck Containers Full,188444,173235
US-Mexico Border,12/01/2002 12:00:00 AM,Truck Containers Empty,141498,150776
US-Canada Border,12/01/2002 12:00:00 AM,Rail Containers Full,114804,92994
US-Canada Border,12/01/2002 12:00:00 AM,Truck Containers Empty,72516,65524
US-Canada Border,12/01/2002 12:00:00 AM,Pedestrians,51264,34106
US-Canada Border,12/01/2002 12:00:00 AM,Rail Containers Empty,36347,29433
US-Mexico Border,12/01/2002 12:00:00 AM,Rail Containers Empty,29405,27297
US-Mexico Border,12/01/2002 12:00:00 AM,Buses,28023,23832
US-Mexico Border,12/01/2002 12:00:00 AM,Rail Containers Full,19652,17918
US-Canada Border,12/01/2002 12:00:00 AM,Train Passengers,14339,16979
US-Canada Border,12/01/2002 12:00:00 AM,Buses,10241,9466
US-Canada Border,12/01/2002 12:00:00 AM,Trains,2275,2582
US-Mexico Border,12/01/2002 12:00:00 AM,Train Passengers,984,1144
US-Mexico Border,12/01/2002 12:00:00 AM,Trains,610,553
US-Mexico Border,12/01/2001 12:00:00 AM,Personal Vehicle Passengers,17439036,20138219
US-Mexico Border,12/01/2001 12:00:00 AM,Personal Vehicles,7243488,7655004
US-Mexico Border,12/01/2001 12:00:00 AM,Pedestrians,4571754,4486774
US-Canada Border,12/01/2001 12:00:00 AM,Personal Vehicle Passengers,4452131,5914215
US-Canada Border,12/01/2001 12:00:00 AM,Personal Vehicles,2172450,2555444
US-Canada Border,12/01/2001 12:00:00 AM,Trucks,455087,487928
US-Canada Border,12/01/2001 12:00:00 AM,Truck Containers Full,375793,360023
US-Mexico Border,12/01/2001 12:00:00 AM,Trucks,321961,337334
US-Mexico Border,12/01/2001 12:00:00 AM,Bus Passengers,315391,248874
US-Canada Border,12/01/2001 12:00:00 AM,Bus Passengers,210570,258646
US-Mexico Border,12/01/2001 12:00:00 AM,Truck Containers Full,169523,176947
US-Mexico Border,12/01/2001 12:00:00 AM,Truck Containers Empty,151569,149982
US-Canada Border,12/01/2001 12:00:00 AM,Rail Containers Full,96308,89681
US-Canada Border,12/01/2001 12:00:00 AM,Truck Containers Empty,69582,61467
US-Canada Border,12/01/2001 12:00:00 AM,Rail Containers Empty,32353,26513
US-Mexico Border,12/01/2001 12:00:00 AM,Rail Containers Empty,29778,24816
US-Canada Border,12/01/2001 12:00:00 AM,Pedestrians,27496,40715
US-Mexico Border,12/01/2001 12:00:00 AM,Buses,24260,23403
US-Mexico Border,12/01/2001 12:00:00 AM,Rail Containers Full,18543,17294
US-Canada Border,12/01/2001 12:00:00 AM,Train Passengers,16842,17116
US-Canada Border,12/01/2001 12:00:00 AM,Buses,8381,10550
US-Canada Border,12/01/2001 12:00:00 AM,Trains,2585,2579
US-Mexico Border,12/01/2001 12:00:00 AM,Train Passengers,1180,1107
US-Mexico Border,12/01/2001 12:00:00 AM,Trains,574,532
US-Mexico Border,12/01/2000 12:00:00 AM,Personal Vehicle Passengers,20632886,19643552
US-Mexico Border,12/01/2000 12:00:00 AM,Personal Vehicles,7940283,7369724
US-Canada Border,12/01/2000 12:00:00 AM,Personal Vehicle Passengers,5897718,5930712
US-Mexico Border,12/01/2000 12:00:00 AM,Pedestrians,4654714,4318833
US-Canada Border,12/01/2000 12:00:00 AM,Personal Vehicles,2492742,2618146
US-Canada Border,12/01/2000 12:00:00 AM,Trucks,475067,500790
US-Canada Border,12/01/2000 12:00:00 AM,Truck Containers Full,357904,362142
US-Mexico Border,12/01/2000 12:00:00 AM,Trucks,328599,346068
US-Canada Border,12/01/2000 12:00:00 AM,Bus Passengers,286591,230702
US-Mexico Border,12/01/2000 12:00:00 AM,Bus Passengers,255262,242486
US-Mexico Border,12/01/2000 12:00:00 AM,Truck Containers Full,172056,181838
US-Mexico Border,12/01/2000 12:00:00 AM,Truck Containers Empty,149813,150150
US-Canada Border,12/01/2000 12:00:00 AM,Rail Containers Full,91855,87507
US-Canada Border,12/01/2000 12:00:00 AM,Truck Containers Empty,60704,62230
US-Canada Border,12/01/2000 12:00:00 AM,Pedestrians,45110,36320
US-Canada Border,12/01/2000 12:00:00 AM,Rail Containers Empty,26822,26204
US-Mexico Border,12/01/2000 12:00:00 AM,Rail Containers Empty,25083,24550
US-Mexico Border,12/01/2000 12:00:00 AM,Buses,24894,21912
US-Canada Border,12/01/2000 12:00:00 AM,Train Passengers,18112,16121
US-Mexico Border,12/01/2000 12:00:00 AM,Rail Containers Full,16933,17656
US-Canada Border,12/01/2000 12:00:00 AM,Buses,11055,10046
US-Canada Border,12/01/2000 12:00:00 AM,Trains,2610,2548
US-Mexico Border,12/01/2000 12:00:00 AM,Train Passengers,1266,948
US-Mexico Border,12/01/2000 12:00:00 AM,Trains,540,524
US-Mexico Border,12/01/1999 12:00:00 AM,Personal Vehicle Passengers,21420461,17866644
US-Mexico Border,12/01/1999 12:00:00 AM,Personal Vehicles,7893894,6845554
US-Canada Border,12/01/1999 12:00:00 AM,Personal Vehicle Passengers,6026165,5835258
US-Mexico Border,12/01/1999 12:00:00 AM,Pedestrians,4376708,4260958
US-Canada Border,12/01/1999 12:00:00 AM,Personal Vehicles,2706197,2530096
US-Canada Border,12/01/1999 12:00:00 AM,Trucks,531633,469948
US-Canada Border,12/01/1999 12:00:00 AM,Truck Containers Full,405789,318494
US-Mexico Border,12/01/1999 12:00:00 AM,Trucks,352977,339160
US-Canada Border,12/01/1999 12:00:00 AM,Bus Passengers,234869,226534
US-Mexico Border,12/01/1999 12:00:00 AM,Bus Passengers,216338,268634
US-Mexico Border,12/01/1999 12:00:00 AM,Truck Containers Full,187457,176220
US-Mexico Border,12/01/1999 12:00:00 AM,Truck Containers Empty,158818,141482
US-Canada Border,12/01/1999 12:00:00 AM,Rail Containers Full,92110,82904
US-Canada Border,12/01/1999 12:00:00 AM,Truck Containers Empty,64679,59780
US-Canada Border,12/01/1999 12:00:00 AM,Pedestrians,40904,31735
US-Mexico Border,12/01/1999 12:00:00 AM,Rail Containers Empty,27902,21198
US-Canada Border,12/01/1999 12:00:00 AM,Rail Containers Empty,25824,26583
US-Mexico Border,12/01/1999 12:00:00 AM,Buses,23477,20346
US-Mexico Border,12/01/1999 12:00:00 AM,Rail Containers Full,17963,17348
US-Canada Border,12/01/1999 12:00:00 AM,Train Passengers,16368,15874
US-Canada Border,12/01/1999 12:00:00 AM,Buses,10447,9646
US-Canada Border,12/01/1999 12:00:00 AM,Trains,2529,2567
US-Mexico Border,12/01/1999 12:00:00 AM,Train Passengers,1011,885
US-Mexico Border,12/01/1999 12:00:00 AM,Trains,490,558
US-Mexico Border,12/01/1998 12:00:00 AM,Personal Vehicle Passengers,19698688,16034600
US-Mexico Border,12/01/1998 12:00:00 AM,Personal Vehicles,7288229,6402879
US-Canada Border,12/01/1998 12:00:00 AM,Personal Vehicle Passengers,5902056,5768460
US-Mexico Border,12/01/1998 12:00:00 AM,Pedestrians,4697031,3824885
US-Canada Border,12/01/1998 12:00:00 AM,Personal Vehicles,2545873,2514318
US-Canada Border,12/01/1998 12:00:00 AM,Trucks,490438,449458
US-Canada Border,12/01/1998 12:00:00 AM,Truck Containers Full,387333,249654
US-Mexico Border,12/01/1998 12:00:00 AM,Trucks,326492,351828
US-Mexico Border,12/01/1998 12:00:00 AM,Bus Passengers,289641,247626
US-Canada Border,12/01/1998 12:00:00 AM,Bus Passengers,211030,242039
US-Mexico Border,12/01/1998 12:00:00 AM,Truck Containers Full,157249,195190
US-Mexico Border,12/01/1998 12:00:00 AM,Truck Containers Empty,148121,134844
US-Canada Border,12/01/1998 12:00:00 AM,Rail Containers Full,86713,79096
US-Canada Border,12/01/1998 12:00:00 AM,Truck Containers Empty,60402,59159
US-Canada Border,12/01/1998 12:00:00 AM,Pedestrians,38366,25104
US-Canada Border,12/01/1998 12:00:00 AM,Rail Containers Empty,24874,28292
US-Mexico Border,12/01/1998 12:00:00 AM,Buses,23228,17465
US-Mexico Border,12/01/1998 12:00:00 AM,Rail Containers Empty,18045,24351
US-Canada Border,12/01/1998 12:00:00 AM,Train Passengers,16657,15090
US-Mexico Border,12/01/1998 12:00:00 AM,Rail Containers Full,16316,18380
US-Canada Border,12/01/1998 12:00:00 AM,Buses,10396,8895
US-Canada Border,12/01/1998 12:00:00 AM,Trains,2592,2542
US-Mexico Border,12/01/1998 12:00:00 AM,Train Passengers,1080,690
US-Mexico Border,12/01/1998 12:00:00 AM,Trains,484,631
US-Mexico Border,12/01/1997 12:00:00 AM,Personal Vehicle Passengers,19719715,12349484
US-Mexico Border,12/01/1997 12:00:00 AM,Personal Vehicles,7346174,5459584
US-Canada Border,12/01/1997 12:00:00 AM,Personal Vehicle Passengers,6155147,5381772
US-Mexico Border,12/01/1997 12:00:00 AM,Pedestrians,4418646,3231124
US-Canada Border,12/01/1997 12:00:00 AM,Personal Vehicles,2622825,2405812
US-Canada Border,12/01/1997 12:00:00 AM,Trucks,451639,447278
US-Canada Border,12/01/1997 12:00:00 AM,Bus Passengers,313680,170398
US-Mexico Border,12/01/1997 12:00:00 AM,Trucks,306611,397045
US-Canada Border,12/01/1997 12:00:00 AM,Truck Containers Full,270069,229240
US-Mexico Border,12/01/1997 12:00:00 AM,Bus Passengers,237839,257413
US-Mexico Border,12/01/1997 12:00:00 AM,Truck Containers Full,148390,241989
US-Mexico Border,12/01/1997 12:00:00 AM,Truck Containers Empty,144599,125088
US-Canada Border,12/01/1997 12:00:00 AM,Rail Containers Full,70773,87418
US-Canada Border,12/01/1997 12:00:00 AM,Truck Containers Empty,47730,70588
US-Canada Border,12/01/1997 12:00:00 AM,Pedestrians,31616,18591
US-Mexico Border,12/01/1997 12:00:00 AM,Buses,22931,11999
US-Canada Border,12/01/1997 12:00:00 AM,Rail Containers Empty,21529,35054
US-Canada Border,12/01/1997 12:00:00 AM,Train Passengers,16988,13192
US-Mexico Border,12/01/1997 12:00:00 AM,Rail Containers Empty,16306,32396
US-Mexico Border,12/01/1997 12:00:00 AM,Rail Containers Full,10103,26658
US-Canada Border,12/01/1997 12:00:00 AM,Buses,9808,7982
US-Canada Border,12/01/1997 12:00:00 AM,Trains,2793,2292
US-Mexico Border,12/01/1997 12:00:00 AM,Train Passengers,493,886
US-Mexico Border,12/01/1997 12:00:00 AM,Trains,406,856
US-Mexico Border,12/01/1996 12:00:00 AM,Personal Vehicle Passengers,13190005,11508963
US-Canada Border,12/01/1996 12:00:00 AM,Personal Vehicle Passengers,7159086,3604458
US-Mexico Border,12/01/1996 12:00:00 AM,Personal Vehicles,4761963,6157204
US-Canada Border,12/01/1996 12:00:00 AM,Personal Vehicles,2811916,1999709
US-Mexico Border,12/01/1996 12:00:00 AM,Pedestrians,2622075,3840174
US-Canada Border,12/01/1996 12:00:00 AM,Trucks,412045,482512
US-Mexico Border,12/01/1996 12:00:00 AM,Bus Passengers,361899,152927
US-Mexico Border,12/01/1996 12:00:00 AM,Trucks,281887,512203
US-Canada Border,12/01/1996 12:00:00 AM,Bus Passengers,230067,110729
US-Mexico Border,12/01/1996 12:00:00 AM,Truck Containers Full,118898,365080
US-Mexico Border,12/01/1996 12:00:00 AM,Truck Containers Empty,102137,148038
US-Canada Border,12/01/1996 12:00:00 AM,Truck Containers Full,91317,367162
US-Canada Border,12/01/1996 12:00:00 AM,Rail Containers Full,23607,151228
US-Canada Border,12/01/1996 12:00:00 AM,Truck Containers Empty,19225,121952
US-Canada Border,12/01/1996 12:00:00 AM,Pedestrians,16449,20733
US-Mexico Border,12/01/1996 12:00:00 AM,Rail Containers Empty,14969,49822
US-Canada Border,12/01/1996 12:00:00 AM,Train Passengers,13990,12395
US-Mexico Border,12/01/1996 12:00:00 AM,Rail Containers Full,12246,41069
US-Canada Border,12/01/1996 12:00:00 AM,Buses,10863,5100
US-Canada Border,12/01/1996 12:00:00 AM,Rail Containers Empty,10458,59650
US-Mexico Border,12/01/1996 12:00:00 AM,Buses,10039,13959
US-Canada Border,12/01/1996 12:00:00 AM,Trains,2501,2082
US-Mexico Border,12/01/1996 12:00:00 AM,Train Passengers,891,880
US-Mexico Border,12/01/1996 12:00:00 AM,Trains,782,930
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,11389748,11628178
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicles,6083730,6230678
US-Mexico Border,11/01/2018 12:00:00 AM,Pedestrians,3959951,3720396
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,3523204,3685712
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicles,1933646,2065772
US-Mexico Border,11/01/2018 12:00:00 AM,Trucks,535417,488989
US-Canada Border,11/01/2018 12:00:00 AM,Trucks,476793,488231
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Full,390148,340013
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Full,358925,375400
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Full,163324,139133
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Empty,150973,145102
US-Mexico Border,11/01/2018 12:00:00 AM,Bus Passengers,150920,154934
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Empty,127697,116208
US-Canada Border,11/01/2018 12:00:00 AM,Bus Passengers,105606,115852
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Empty,59112,60188
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Empty,54868,44776
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Full,41616,40522
US-Canada Border,11/01/2018 12:00:00 AM,Pedestrians,21290,20176
US-Mexico Border,11/01/2018 12:00:00 AM,Buses,13325,14593
US-Canada Border,11/01/2018 12:00:00 AM,Train Passengers,11720,13070
US-Canada Border,11/01/2018 12:00:00 AM,Buses,4777,5422
US-Canada Border,11/01/2018 12:00:00 AM,Trains,1979,2186
US-Mexico Border,11/01/2018 12:00:00 AM,Train Passengers,1017,742
US-Mexico Border,11/01/2018 12:00:00 AM,Trains,970,889
US-Mexico Border,11/01/2017 12:00:00 AM,Personal Vehicle Passengers,11928122,11328233
US-Mexico Border,11/01/2017 12:00:00 AM,Personal Vehicles,6369244,6092111
US-Mexico Border,11/01/2017 12:00:00 AM,Pedestrians,3846738,3594054
US-Canada Border,11/01/2017 12:00:00 AM,Personal Vehicle Passengers,3630353,3741070
US-Canada Border,11/01/2017 12:00:00 AM,Personal Vehicles,2002198,2129345
US-Mexico Border,11/01/2017 12:00:00 AM,Trucks,513361,464617
US-Canada Border,11/01/2017 12:00:00 AM,Trucks,493062,483400
US-Canada Border,11/01/2017 12:00:00 AM,Truck Containers Full,367342,383459
US-Mexico Border,11/01/2017 12:00:00 AM,Truck Containers Full,358016,322010
US-Mexico Border,11/01/2017 12:00:00 AM,Truck Containers Empty,150965,139238
US-Canada Border,11/01/2017 12:00:00 AM,Rail Containers Full,147252,131014
US-Mexico Border,11/01/2017 12:00:00 AM,Bus Passengers,137698,172169
US-Canada Border,11/01/2017 12:00:00 AM,Truck Containers Empty,135585,96832
US-Canada Border,11/01/2017 12:00:00 AM,Bus Passengers,106550,125154
US-Canada Border,11/01/2017 12:00:00 AM,Rail Containers Empty,64178,56198
US-Mexico Border,11/01/2017 12:00:00 AM,Rail Containers Empty,49157,40395
US-Mexico Border,11/01/2017 12:00:00 AM,Rail Containers Full,41351,39692
US-Canada Border,11/01/2017 12:00:00 AM,Pedestrians,20077,20276
US-Mexico Border,11/01/2017 12:00:00 AM,Buses,13786,15400
US-Canada Border,11/01/2017 12:00:00 AM,Train Passengers,13675,12464
US-Canada Border,11/01/2017 12:00:00 AM,Buses,4930,5914
US-Canada Border,11/01/2017 12:00:00 AM,Trains,1872,2500
US-Mexico Border,11/01/2017 12:00:00 AM,Trains,934,844
US-Mexico Border,11/01/2017 12:00:00 AM,Train Passengers,800,684
US-Mexico Border,11/01/2016 12:00:00 AM,Personal Vehicle Passengers,11496406,11160060
US-Mexico Border,11/01/2016 12:00:00 AM,Personal Vehicles,6199468,5984754
US-Mexico Border,11/01/2016 12:00:00 AM,Pedestrians,3663638,3524470
US-Canada Border,11/01/2016 12:00:00 AM,Personal Vehicle Passengers,3505423,3976717
US-Canada Border,11/01/2016 12:00:00 AM,Personal Vehicles,2021594,2237096
US-Canada Border,11/01/2016 12:00:00 AM,Trucks,492637,474162
US-Mexico Border,11/01/2016 12:00:00 AM,Trucks,492340,436894
US-Canada Border,11/01/2016 12:00:00 AM,Truck Containers Full,403023,363895
US-Mexico Border,11/01/2016 12:00:00 AM,Truck Containers Full,339115,304905
US-Mexico Border,11/01/2016 12:00:00 AM,Truck Containers Empty,150063,128413
US-Mexico Border,11/01/2016 12:00:00 AM,Bus Passengers,148799,195539
US-Canada Border,11/01/2016 12:00:00 AM,Rail Containers Full,134162,127866
US-Canada Border,11/01/2016 12:00:00 AM,Bus Passengers,115672,134636
US-Canada Border,11/01/2016 12:00:00 AM,Truck Containers Empty,95053,98610
US-Canada Border,11/01/2016 12:00:00 AM,Rail Containers Empty,54951,57445
US-Mexico Border,11/01/2016 12:00:00 AM,Rail Containers Empty,42914,37876
US-Mexico Border,11/01/2016 12:00:00 AM,Rail Containers Full,41657,37726
US-Canada Border,11/01/2016 12:00:00 AM,Pedestrians,21239,19314
US-Mexico Border,11/01/2016 12:00:00 AM,Buses,13564,17236
US-Canada Border,11/01/2016 12:00:00 AM,Train Passengers,12683,12244
US-Canada Border,11/01/2016 12:00:00 AM,Buses,5577,6252
US-Canada Border,11/01/2016 12:00:00 AM,Trains,2561,2440
US-Mexico Border,11/01/2016 12:00:00 AM,Train Passengers,919,448
US-Mexico Border,11/01/2016 12:00:00 AM,Trains,874,814
US-Mexico Border,11/01/2015 12:00:00 AM,Personal Vehicle Passengers,11630109,10690010
US-Mexico Border,11/01/2015 12:00:00 AM,Personal Vehicles,6255819,5713689
US-Mexico Border,11/01/2015 12:00:00 AM,Pedestrians,3551959,3496982
US-Canada Border,11/01/2015 12:00:00 AM,Personal Vehicle Passengers,3549922,4403512
US-Canada Border,11/01/2015 12:00:00 AM,Personal Vehicles,2055745,2418448
US-Canada Border,11/01/2015 12:00:00 AM,Trucks,486513,461812
US-Mexico Border,11/01/2015 12:00:00 AM,Trucks,449882,423905
US-Canada Border,11/01/2015 12:00:00 AM,Truck Containers Full,383318,344472
US-Mexico Border,11/01/2015 12:00:00 AM,Truck Containers Full,315596,294214
US-Mexico Border,11/01/2015 12:00:00 AM,Bus Passengers,185505,205573
US-Canada Border,11/01/2015 12:00:00 AM,Rail Containers Full,130876,124856
US-Mexico Border,11/01/2015 12:00:00 AM,Truck Containers Empty,130106,126720
US-Canada Border,11/01/2015 12:00:00 AM,Bus Passengers,115394,153878
